Entity,Code,Day,"Death rate (weekly) of unvaccinated people - United States, by age","Death rate (weekly) of fully vaccinated people (without bivalent booster) - United States, by age","Death rate (weekly) of fully vaccinated people (with bivalent booster) - United States, by age"
Dec-17,,06/11/2021,0.039832313,0,
Dec-17,,13/11/2021,0.060443535,0,
Dec-17,,20/11/2021,0.04085689,0,
Dec-17,,27/11/2021,0,0,
Dec-17,,04/12/2021,0,0,
Dec-17,,11/12/2021,0.0844819,0,
Dec-17,,18/12/2021,0.06408349,0.019797534,
Dec-17,,25/12/2021,0,0,
Dec-17,,01/01/2022,0.04382797,0,
Dec-17,,08/01/2022,0.10562096,0.018247027,
Dec-17,,15/01/2022,0.043031704,0.05435402,
Dec-17,,22/01/2022,0.06573112,0,
Dec-17,,29/01/2022,0.11101118,0.017780345,
Dec-17,,05/02/2022,0.022462986,0.035222758,
Dec-17,,12/02/2022,0.06797117,0,
Dec-17,,19/02/2022,0.022861809,0,
Dec-17,,26/02/2022,0.02303752,0,
Dec-17,,05/03/2022,0,0,
Dec-17,,12/03/2022,0.023266278,0,
Dec-17,,19/03/2022,0,0,
Dec-17,,26/03/2022,0,0,
Dec-17,,02/04/2022,0,0,
Dec-17,,09/04/2022,0,0,
Dec-17,,16/04/2022,0,0,
Dec-17,,23/04/2022,0,0,
Dec-17,,30/04/2022,0,0,
Dec-17,,07/05/2022,0.07183029,0,
Dec-17,,14/05/2022,0.047997717,0,
Dec-17,,21/05/2022,0,0,
Dec-17,,28/05/2022,0.024133982,0,
Dec-17,,04/06/2022,0.048398457,0.016465386,
Dec-17,,11/06/2022,0.024267858,0.016439611,
Dec-17,,18/06/2022,0,0,
Dec-17,,25/06/2022,0,0,
Dec-17,,02/07/2022,0,0,
Dec-17,,09/07/2022,0.048999228,0,
Dec-17,,16/07/2022,0.02455944,0,
Dec-17,,23/07/2022,0.07387434,0,
Dec-17,,30/07/2022,0,0,
Dec-17,,06/08/2022,0.04952816,0,
Dec-17,,13/08/2022,0,0,
Dec-17,,20/08/2022,0.049783755,0,
Dec-17,,27/08/2022,0.024943057,0,
Dec-17,,03/09/2022,0,0.016200203,
Dec-17,,10/09/2022,0,0,
Dec-17,,17/09/2022,0.075121306,0,
Dec-17,,24/09/2022,0.025724018,0,0
Dec-17,,01/10/2022,0.05021119,0,0
Dec-17,,08/10/2022,0,0,0
Dec-17,,15/10/2022,0.025158983,0,0
Dec-17,,22/10/2022,0,0,0
Dec-17,,29/10/2022,0,0,0
Dec-17,,05/11/2022,0.025234934,0,0
Dec-17,,12/11/2022,0,0,0
Dec-17,,19/11/2022,0,0,0
Dec-17,,26/11/2022,0.025308218,0,0
Dec-17,,03/12/2022,0.07597588,0.017116034,0
Dec-17,,10/12/2022,0,0,0
Dec-17,,17/12/2022,0,0.01730157,0
Dec-17,,24/12/2022,0.025384752,0,0
Dec-17,,31/12/2022,0.050804444,0,0
Dec-17,,07/01/2023,0.050830875,0,0
Dec-17,,14/01/2023,0.025433147,0,0
Dec-17,,21/01/2023,0,0,0
Dec-17,,28/01/2023,0,0,0
Dec-17,,04/02/2023,0,0,0
Dec-17,,11/02/2023,0,0,0
Dec-17,,18/02/2023,0.025506089,0,0
Dec-17,,25/02/2023,0,0,0
Dec-17,,04/03/2023,0,0,0
Dec-17,,11/03/2023,0,0,0
Dec-17,,18/03/2023,0.025558343,0,0
Dec-17,,25/03/2023,0,0,0
Dec-17,,01/04/2023,0,0,0
18-29,,09/10/2021,0.252441,0,
18-29,,16/10/2021,0.30659387,0.018170847,
18-29,,23/10/2021,0.26874572,0.017895713,
18-29,,30/10/2021,0.2090481,0.008833407,
18-29,,06/11/2021,0.23248173,0,
18-29,,13/11/2021,0.22432834,0,
18-29,,20/11/2021,0.35667282,0.01716357,
18-29,,27/11/2021,0.3943959,0.008517474,
18-29,,04/12/2021,0.3211426,0.008456779,
18-29,,11/12/2021,0.17988436,0.016799726,
18-29,,18/12/2021,0.34225932,0.008354823,
18-29,,25/12/2021,0.33699164,0.033187952,
18-29,,01/01/2022,0.40107957,0.11538138,
18-29,,08/01/2022,0.51933974,0.07801177,
18-29,,15/01/2022,0.54078317,0.13192168,
18-29,,22/01/2022,0.4558418,0.09258279,
18-29,,29/01/2022,0.28375122,0.09200901,
18-29,,05/02/2022,0.22675695,0.022883968,
18-29,,12/02/2022,0.18032517,0.007591006,
