Entity,Code,Day,"Death rate (weekly) of unvaccinated people - United States, by age","Death rate (weekly) of fully vaccinated people (without bivalent booster) - United States, by age"
0.5-4,Unknown,2022-11-19,0.0,0.0
0.5-4,Unknown,2022-11-26,0.0,0.0
0.5-4,Unknown,2022-12-03,0.021035556,0.0
0.5-4,Unknown,2022-12-10,0.0422174,0.0
0.5-4,Unknown,2022-12-17,0.042348567,0.0
0.5-4,Unknown,2022-12-24,0.0,0.0
0.5-4,Unknown,2022-12-31,0.042510014,0.0
0.5-4,Unknown,2023-01-07,0.08516257,0.0
0.5-4,Unknown,2023-01-14,0.0213456,0.0
0.5-4,Unknown,2023-01-21,0.106951006,0.0
0.5-4,Unknown,2023-01-28,0.042859674,0.0
0.5-4,Unknown,2023-02-04,0.0,0.0
0.5-4,Unknown,2023-02-11,0.021503212,0.0
0.5-4,Unknown,2023-02-18,0.0,0.0
0.5-4,Unknown,2023-02-25,0.02156537,0.0
0.5-4,Unknown,2023-03-04,0.021597078,0.0
0.5-4,Unknown,2023-03-11,0.02162552,0.0
0.5-4,Unknown,2023-03-18,0.02165154,0.0
0.5-4,Unknown,2023-03-25,0.0,0.0
0.5-4,Unknown,2023-04-01,0.0,0.3397062
12-17,Unknown,2021-10-09,0.07677123,0.0
12-17,Unknown,2021-10-16,0.038808774,0.0
12-17,Unknown,2021-10-23,0.05875537,0.0
12-17,Unknown,2021-10-30,0.0,0.021099152
12-17,Unknown,2021-11-06,0.039832313,0.0
12-17,Unknown,2021-11-13,0.060443535,0.0
12-17,Unknown,2021-11-20,0.04085689,0.0
12-17,Unknown,2021-11-27,0.0,0.0
12-17,Unknown,2021-12-04,0.0,0.0
12-17,Unknown,2021-12-11,0.0844819,0.0
12-17,Unknown,2021-12-18,0.06408349,0.019797534
12-17,Unknown,2021-12-25,0.0,0.0
12-17,Unknown,2022-01-01,0.04382797,0.0
12-17,Unknown,2022-01-08,0.10562096,0.018247027
12-17,Unknown,2022-01-15,0.043031704,0.05435402
12-17,Unknown,2022-01-22,0.06573112,0.0
12-17,Unknown,2022-01-29,0.11101118,0.017780345
12-17,Unknown,2022-02-05,0.022462986,0.035222758
12-17,Unknown,2022-02-12,0.06797117,0.0
12-17,Unknown,2022-02-19,0.022861809,0.0
12-17,Unknown,2022-02-26,0.02303752,0.0
12-17,Unknown,2022-03-05,0.0,0.0
12-17,Unknown,2022-03-12,0.023266278,0.0
12-17,Unknown,2022-03-19,0.0,0.0
12-17,Unknown,2022-03-26,0.0,0.0
12-17,Unknown,2022-04-02,0.0,0.0
12-17,Unknown,2022-04-09,0.0,0.0
12-17,Unknown,2022-04-16,0.0,0.0
12-17,Unknown,2022-04-23,0.0,0.0
12-17,Unknown,2022-04-30,0.0,0.0
12-17,Unknown,2022-05-07,0.07183029,0.0
12-17,Unknown,2022-05-14,0.047997717,0.0
12-17,Unknown,2022-05-21,0.0,0.0
12-17,Unknown,2022-05-28,0.024133982,0.0
12-17,Unknown,2022-06-04,0.048398457,0.016465386
12-17,Unknown,2022-06-11,0.024267858,0.016439611
12-17,Unknown,2022-06-18,0.0,0.0
12-17,Unknown,2022-06-25,0.0,0.0
12-17,Unknown,2022-07-02,0.0,0.0
12-17,Unknown,2022-07-09,0.048999228,0.0
12-17,Unknown,2022-07-16,0.02455944,0.0
12-17,Unknown,2022-07-23,0.07387434,0.0
12-17,Unknown,2022-07-30,0.0,0.0
12-17,Unknown,2022-08-06,0.04952816,0.0
12-17,Unknown,2022-08-13,0.0,0.0
12-17,Unknown,2022-08-20,0.049783755,0.0
12-17,Unknown,2022-08-27,0.024943057,0.0
12-17,Unknown,2022-09-03,0.0,0.016200203
12-17,Unknown,2022-09-10,0.0,0.0
12-17,Unknown,2022-09-17,0.075121306,0.0
12-17,Unknown,2022-09-24,0.025724018,0.0
12-17,Unknown,2022-10-01,0.05021119,0.0
12-17,Unknown,2022-10-08,0.0,0.0
12-17,Unknown,2022-10-15,0.025158983,0.0
12-17,Unknown,2022-10-22,0.0,0.0
12-17,Unknown,2022-10-29,0.0,0.0
12-17,Unknown,2022-11-05,0.025234934,0.0
12-17,Unknown,2022-11-12,0.0,0.0
12-17,Unknown,2022-11-19,0.0,0.0
12-17,Unknown,2022-11-26,0.025308218,0.0
12-17,Unknown,2022-12-03,0.07597588,0.017116034
12-17,Unknown,2022-12-10,0.0,0.0
12-17,Unknown,2022-12-17,0.0,0.01730157
12-17,Unknown,2022-12-24,0.025384752,0.0
12-17,Unknown,2022-12-31,0.050804444,0.0
12-17,Unknown,2023-01-07,0.050830875,0.0
12-17,Unknown,2023-01-14,0.025433147,0.0
12-17,Unknown,2023-01-21,0.0,0.0
12-17,Unknown,2023-01-28,0.0,0.0
12-17,Unknown,2023-02-04,0.0,0.0
12-17,Unknown,2023-02-11,0.0,0.0
12-17,Unknown,2023-02-18,0.025506089,0.0
12-17,Unknown,2023-02-25,0.0,0.0
12-17,Unknown,2023-03-04,0.0,0.0
12-17,Unknown,2023-03-11,0.0,0.0
12-17,Unknown,2023-03-18,0.025558343,0.0
12-17,Unknown,2023-03-25,0.0,0.0
12-17,Unknown,2023-04-01,0.0,0.0
18-29,Unknown,2021-10-09,0.252441,0.0
18-29,Unknown,2021-10-16,0.30659387,0.018170847
18-29,Unknown,2021-10-23,0.26874572,0.017895713
18-29,Unknown,2021-10-30,0.2090481,0.008833407
18-29,Unknown,2021-11-06,0.23248173,0.0
18-29,Unknown,2021-11-13,0.22432834,0.0
18-29,Unknown,2021-11-20,0.35667282,0.01716357
18-29,Unknown,2021-11-27,0.3943959,0.008517474
18-29,Unknown,2021-12-04,0.3211426,0.008456779
18-29,Unknown,2021-12-11,0.17988436,0.016799726
18-29,Unknown,2021-12-18,0.34225932,0.008354823
18-29,Unknown,2021-12-25,0.33699164,0.033187952
18-29,Unknown,2022-01-01,0.40107957,0.11538138
18-29,Unknown,2022-01-08,0.51933974,0.07801177
18-29,Unknown,2022-01-15,0.54078317,0.13192168
18-29,Unknown,2022-01-22,0.4558418,0.09258279
18-29,Unknown,2022-01-29,0.28375122,0.09200901
18-29,Unknown,2022-02-05,0.22675695,0.022883968
18-29,Unknown,2022-02-12,0.18032517,0.007591006
18-29,Unknown,2022-02-19,0.13315786,0.015101249
18-29,Unknown,2022-02-26,0.07303731,0.015026667
18-29,Unknown,2022-03-05,0.024466872,0.0
18-29,Unknown,2022-03-12,0.073707834,0.0
18-29,Unknown,2022-03-19,0.04932365,0.0074302536
18-29,Unknown,2022-03-26,0.024754643,0.007411754
18-29,Unknown,2022-04-02,0.02483901,0.007394869
18-29,Unknown,2022-04-09,0.012459495,0.014762409
18-29,Unknown,2022-04-16,0.07499721,0.0
18-29,Unknown,2022-04-23,0.012537163,0.0
18-29,Unknown,2022-04-30,0.012571909,0.0
18-29,Unknown,2022-05-07,0.025210904,0.007340408
18-29,Unknown,2022-05-14,0.050556038,0.0073316568
18-29,Unknown,2022-05-21,0.012674388,0.0
18-29,Unknown,2022-05-28,0.03812812,0.014629736
18-29,Unknown,2022-06-04,0.02547774,0.014613708
18-29,Unknown,2022-06-11,0.025544832,0.014598391
18-29,Unknown,2022-06-18,0.07682866,0.0072924765
